event_id,category_id,title,closed,link
EONET_20301,wildfires,"Bradshaw Wildfire, Powder River, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20301
EONET_20254,wildfires,"Black Ridge Wildfire, Lincoln, Idaho",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20254
EONET_20252,wildfires,"0231 ZEN Wildfire, Wasco, Oregon",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20252
EONET_20257,wildfires,"Egberts Wildfire, Elko, Nevada",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20257
EONET_20250,wildfires,"Summit Creek Wildfire, Cassia, Idaho",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20250
EONET_20258,wildfires,"Kinyon Springs Wildfire, Owyhee, Idaho",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20258
EONET_20259,wildfires,"MILE MARKER 44 FIRE - BROWARD Wildfire, Broward, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20259
EONET_20253,wildfires,"COUNTRY MEADOW Wildfire, Benton, Washington",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20253
EONET_20263,wildfires,"340 Wildfire, Wakulla, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20263
EONET_20249,wildfires,"Mile Marker 44 Wildfire, Broward, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20249
EONET_20260,wildfires,"Quartz Wildfire, Pershing, Nevada",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20260
EONET_20262,wildfires,"Thousand Wildfire, Northwest Arctic, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20262
EONET_20256,wildfires,"WaWa 2 Wildfire, Highlands, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20256
EONET_20264,wildfires,"Shell Wildfire, Lake, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20264
EONET_20261,wildfires,"Trigg Wildfire, San Miguel, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20261
EONET_20230,wildfires,"DeSoto BB 8374 S RX Prescribed Fire, Harrison, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20230
EONET_20229,wildfires,"Chickasawhay CPT 451 452 RX Prescribed Fire, Greene, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20229
EONET_20231,wildfires,"CADDUGGEN Wildfire, Carteret, North Carolina",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20231
EONET_20236,wildfires,"Rifle Range Rd Wildfire, Collier, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20236
EONET_20232,wildfires,"Foothill Wildfire, Santa Barbara, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20232
EONET_20238,wildfires,"MTZ/SDU/TUSIL Wildfire, San Diego, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20238
EONET_20234,wildfires,"VERONA Wildfire, Riverside, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20234
EONET_20233,wildfires,"BAIN Wildfire, Riverside, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20233
EONET_20289,wildfires,"Sunfish Rx Prescribed Fire, Cook, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20289
EONET_20241,wildfires,"DeSoto BB 7310 S RX Prescribed Fire, Perry, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20241
EONET_20240,wildfires,"Chickasawhay CPT 366 RX Prescribed Fire, Wayne, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20240
EONET_20242,wildfires,"RX WINN BU  24 Prescribed Fire, Winn, Louisiana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20242
EONET_20153,wildfires,"Kress Wildfire, Swisher, Texas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20153
EONET_20157,wildfires,"SANDY Wildfire, Ventura, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20157
EONET_20159,wildfires,"RIVER Wildfire, Kern, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20159
EONET_20239,wildfires,"Chickasawhay CPT 400 RX Prescribed Fire, Wayne, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20239
